Transcript,Male_EDL1,Male_EDL2,Male_EDL3,Male_EDL4,Male_EDL5,Male_EDL6,Female_EDL1,Female_EDL2,Female_EDL3,Female_EDL4,Female_EDL5,Female_EDL6,Male_SOL1,Male_SOL2,Male_SOL3,Male_SOL4,Male_SOL5,Male_SOL6,Female_SOL1,Female_SOL2,Female_SOL3,Female_SOL4,Female_SOL5,Female_SOL6
"ENSRNOT00000044669(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000046586(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000073861(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000073698(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000044187(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000072186(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099460(refseq),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001099457[[1]](refseq),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000072360(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000048913(ensembl),-transcript",0,0,0,0,0,0,0,0,0.027694039,0,0,0,0,0,0,0,0,0,0,0.027615531,0,0,0,0.028665453
"ENSRNOT00000073546(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014819969,0.016512761,0,0,0,0,0
"NM_001099459(refseq)::::ENSRNOT00000045627(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016689264,0,0,0,0,0
"NM_001099462[[2]](refseq)::::ENSRNOT00000041332(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001013063(refseq),-transcript",0,0,0,0.073278591,0,0,0,0.042664769,0,0,0,0,0,0,0.027648572,0.052100826,0.028725323,0,0.029709006,0.029483812,0,0.025606713,0,0
"ENSRNOT00000062027(ensembl),-transcript",0,0.045315523,0.074910904,0.107198268,0.026690334,0.0295818,0,0.041609146,0,0.024973145,0,0,0,0.260820782,0.026964484,0.050811733,0.056029188,0.026003698,0.028973938,0.028754316,0,0.024973145,0.028026902,0.029847534
"NM_001099462[[1]](refseq),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001161691(refseq),-transcript",0,0.055971211,0.092525777,0.04413511,0.032966414,0.036537792,0,0,0,0.030845438,0,0,0,0.322151305,0,0,0.069204132,0.03211832,0.035786995,0.03551573,0,0,0.034617269,0.036866012
"ENSRNOT00000062033(ensembl),-transcript",0.062452279,0,0,0,0,0,0,0,0,0,0,0.192006163,0,0,0,0.095889847,0,0,0,0,0,0,0,0
"ENSRNOT00000075346(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000062051(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000062040(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000029038(ensembl),+transcript",0.71018742,0.388991659,0.401900316,0.383415635,0.114555857,0.825279855,0.736237512,0.714351706,0.866357762,0.4823353,0.730686331,0.145562194,0.19653764,0.209897255,0.23146504,0.327128638,0.240479257,0.167413188,0.124357168,0.06170727,0.185648092,0.160778433,0.120292456,0.128106672
"ENSRNOT00000028992(ensembl),-transcript",0.105593656,0.072296147,0.179268694,0.057007851,0.042581618,0.141583943,0.109466893,0.066383012,0,0.079684048,0,0.162320999,0,0.416112103,0.129056988,0.081064772,0.089388671,0.082972325,0,0.091748968,0,0,0,0.238092992
"ENSRNOT00000044523(ensembl),+transcript",0.184308927,0.315474097,0.469358034,0,0.148648558,0.123564168,0.382138973,0.231737061,0.240898385,0.34771221,0.414813077,0.613868507,0.063757187,0.090788095,0.187719255,0.459858344,0.507077552,0.325854951,0.48410044,0.36032322,0.321197847,0.486797094,0.234138618,0.664928793
"ENSRNOT00000062030(ensembl),+transcript",0,0,0,0,0,0.061312705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000028945(ensembl),+transcript",0,0,0,0.03759303,0,0,0,0,0.030337288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000019181(ensembl),+transcript",7.482581585,6.897968029,7.518646367,8.07938492,9.373010018,7.504945118,8.948089738,10.57481993,5.35204878,7.313869458,9.263276518,8.453204934,5.900367785,6.820216108,8.605167806,8.266077361,6.945245435,6.736063438,8.666123507,6.283948281,7.649451015,8.13640189,8.632354447,7.386374408
"ENSRNOT00000050254(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_013073(refseq),-transcript",127.4517659,134.8791159,135.9561644,134.7813117,126.3884361,130.2165182,131.0925525,151.2380729,86.23695329,92.84482045,155.5342322,141.0469964,92.61472725,93.02823858,114.1830746,121.4626558,122.0941148,113.9060923,118.0933001,114.3500169,127.4483177,123.1426834,128.2689395,115.5023837
